CRUISE,VESSEL,YEAR,SEASON,STATION,STRATUM,TOW,OPERATION_STATUS,SHG,TOGA,TYPE_CODE,TYPE_COMMENT,OPERATION_CODE,OPERATION_COMMENT,GEAR_CODE,GEAR_COMMENT,ACQUISITION_CODE,ACQUISITION_COMMENT,DECDEG_BEGLAT,DECDEG_BEGLON,DECDEG_ENDLAT,DECDEG_ENDLON,TOW_DURATION (min),BEGIN_TOW_DATE,BEGIN_TOW_TIME,END_TOW_DATE,END_TOW_TIME,AVG_DEPTH (m),BOTTOM_TEMP (deg C),BOTTOM_SALINITY (PSU),SURFACE_TEMP (deg C),SURFACE_SALINITY (PSU),SVSPP,LOGGED_SPECIES_NAME,EXPANDED_CATCH_WT (kg),EXPANDED_CATCH_NUMBER
196307,AL,1963,FALL,49,1330,4,Representative,122,,, ,, ,, ,, ,43.466667,-66.516667,,,30,11/20/1963,6:05,11/20/1963 0:00,6:35:00 AM,83,7.3,,7.9,,84,Brosme brosme (cusk),3.6,1
196307,AL,1963,FALL,50,1340,3,Representative,111,,, ,, ,, ,, ,43.5,-66.683333,,,30,11/20/1963,8:05,11/20/1963 0:00,8:35:00 AM,128,6.7,,7.9,,84,Brosme brosme (cusk),1.4,1
196307,AL,1963,FALL,51,1340,4,Representative,111,,, ,, ,, ,, ,43.616667,-66.766667,,,30,11/20/1963,9:42,11/20/1963 0:00,10:12:00 AM,128,6.4,,7.3,,84,Brosme brosme (cusk),1.4,1
196307,AL,1963,FALL,55,1340,5,Representative,111,,, ,, ,, ,, ,43.333333,-66.883333,,,30,11/20/1963,19:02,11/20/1963 0:00,7:32:00 PM,165,7,,7.9,,84,Brosme brosme (cusk),2.7,1
196307,AL,1963,FALL,57,1360,9,Representative,111,,, ,, ,, ,, ,42.983333,-66.983333,,,30,11/21/1963,4:55,11/21/1963 0:00,5:25:00 AM,206,6.7,,8.3,,84,Brosme brosme (cusk),3.2,2
196307,AL,1963,FALL,59,1290,5,Representative,111,,, ,, ,, ,, ,42.5,-66.833333,,,30,11/21/1963,9:45,11/21/1963 0:00,10:15:00 AM,261,6.2,,8.4,,84,Brosme brosme (cusk),2.3,1
196307,AL,1963,FALL,60,1290,6,Representative,111,,, ,, ,, ,, ,42.583333,-66.55,,,30,11/21/1963,12:40,11/21/1963 0:00,1:10:00 PM,183,6.6,,8.9,,84,Brosme brosme (cusk),8.6,3
196307,AL,1963,FALL,65,1320,1,Representative,121,,, ,, ,, ,, ,42.683333,-66.033333,,,29,11/22/1963,1:05,11/22/1963 0:00,1:34:00 AM,66,7.2,,8.8,,84,Brosme brosme (cusk),5,1
196307,AL,1963,FALL,68,1290,9,Representative,111,,, ,, ,, ,, ,42.266667,-65.916667,,,30,11/22/1963,13:24,11/22/1963 0:00,1:54:00 PM,238,5.7,,8.7,,84,Brosme brosme (cusk),2.7,1
196307,AL,1963,FALL,69,1310,5,Representative,111,,, ,, ,, ,, ,42.466667,-65.816667,,,30,11/22/1963,20:25,11/22/1963 0:00,8:55:00 PM,102,5.6,,8.4,,84,Brosme brosme (cusk),16.8,6
196307,AL,1963,FALL,86,1300,1,Representative,123,,, ,, ,, ,, ,42.283333,-67.233333,,,30,11/25/1963,14:48,11/25/1963 0:00,3:18:00 PM,279,6.9,,9.4,,84,Brosme brosme (cusk),3.2,1
196307,AL,1963,FALL,89,1220,1,Representative,111,,, ,, ,, ,, ,42.1,-67.566667,,,30,11/26/1963,0:00,11/26/1963 0:00,12:30:00 AM,167,6.1,,9.1,,84,Brosme brosme (cusk),5.9,1
196307,AL,1963,FALL,100,1290,15,Representative,123,,, ,, ,, ,, ,41.75,-68.333333,,,30,11/26/1963,23:00,11/26/1963 0:00,11:30:00 PM,215,7.2,,9.1,,84,Brosme brosme (cusk),2.3,1
196307,AL,1963,FALL,102,1240,2,Representative,123,,, ,, ,, ,, ,42,-68.4,,,30,11/27/1963,3:39,11/27/1963 0:00,4:09:00 AM,183,6.1,,8.9,,84,Brosme brosme (cusk),8.6,2
196307,AL,1963,FALL,108,1240,5,Representative,111,,, ,, ,, ,, ,42.066667,-68.716667,,,30,12/4/1963,3:52,12/4/1963 0:00,4:22:00 AM,161,6.2,,7.7,,84,Brosme brosme (cusk),4.5,1
196307,AL,1963,FALL,113,1240,10,Representative,111,,, ,, ,, ,, ,41.483333,-69.033333,,,30,12/4/1963,19:05,12/4/1963 0:00,7:35:00 PM,150,6,,8.4,,84,Brosme brosme (cusk),2.3,2
196307,AL,1963,FALL,114,1240,11,Representative,111,,, ,, ,, ,, ,41.35,-68.85,,,30,12/4/1963,20:50,12/4/1963 0:00,9:20:00 PM,121,6.7,,8.2,,84,Brosme brosme (cusk),2.7,1
196307,AL,1963,FALL,115,1230,2,Representative,111,,, ,, ,, ,, ,41.35,-68.516667,,,30,12/4/1963,22:50,12/4/1963 0:00,11:20:00 PM,66,8.4,,8.3,,84,Brosme brosme (cusk),2.3,1
196413,AL,1964,FALL,55,1240,1,Representative,111,,, ,, ,, ,, ,41.433333,-69.116667,,,30,10/30/1964,22:40,10/30/1964 0:00,11:10:00 PM,146,5.7,,10.7,,84,Brosme brosme (cusk),1.4,1
196413,AL,1964,FALL,88,1270,2,Representative,123,,, ,, ,, ,, ,42.466667,-69.983333,,,30,11/11/1964,4:57,11/11/1964 0:00,5:27:00 AM,137,5.2,,8.8,,84,Brosme brosme (cusk),2.7,1
196413,AL,1964,FALL,92,1280,2,Representative,111,,, ,, ,, ,, ,41.966667,-69.6,,,30,11/11/1964,13:48,11/11/1964 0:00,2:18:00 PM,201,5.1,,9.6,,84,Brosme brosme (cusk),10.9,1
196413,AL,1964,FALL,97,1260,4,Representative,111,,, ,, ,, ,, ,42.683333,-70.25,,,30,11/12/1964,5:39,11/12/1964 0:00,6:09:00 AM,101,7.3,,9.1,,84,Brosme brosme (cusk),1.4,1
196413,AL,1964,FALL,106,1370,3,Representative,111,,, ,, ,, ,, ,43.066667,-68.866667,,,30,11/13/1964,4:32,11/13/1964 0:00,5:02:00 AM,192,5.2,,8.3,,84,Brosme brosme (cusk),0,1
196413,AL,1964,FALL,108,1370,5,Representative,111,,, ,, ,, ,, ,43.216667,-68.583333,,,30,11/13/1964,8:40,11/13/1964 0:00,9:10:00 AM,177,5.1,,8.7,,84,Brosme brosme (cusk),3,1
196413,AL,1964,FALL,112,1360,2,Representative,111,,, ,, ,, ,, ,43.55,-68.05,,,30,11/13/1964,17:47,11/13/1964 0:00,6:17:00 PM,187,5.5,,8,,84,Brosme brosme (cusk),14.1,3
196413,AL,1964,FALL,115,1380,6,Representative,111,,, ,, ,, ,, ,44.066667,-67.7,,,30,11/14/1964,7:30,11/14/1964 0:00,8:00:00 AM,160,6.5,,7.8,,84,Brosme brosme (cusk),4.1,1
196413,AL,1964,FALL,117,1350,1,Representative,111,,, ,, ,, ,, ,44.35,-67.233333,,,30,11/14/1964,15:35,11/14/1964 0:00,4:05:00 PM,139,6.1,,7.6,,84,Brosme brosme (cusk),5.3,1
196413,AL,1964,FALL,128,1360,5,Representative,123,,, ,, ,, ,, ,43.15,-67.766667,,,30,11/16/1964,13:12,11/16/1964 0:00,1:42:00 PM,185,5.5,,8.8,,84,Brosme brosme (cusk),6.4,1
196413,AL,1964,FALL,130,1290,1,Representative,111,,, ,, ,, ,, ,42.666667,-68.3,,,30,11/16/1964,17:47,11/16/1964 0:00,6:17:00 PM,179,5.7,,9.2,,84,Brosme brosme (cusk),9.1,3
196413,AL,1964,FALL,132,1290,2,Representative,111,,, ,, ,, ,, ,42.4,-67.9,,,30,11/17/1964,1:21,11/17/1964 0:00,1:51:00 AM,186,5.4,,9.2,,84,Brosme brosme (cusk),1.8,1
196413,AL,1964,FALL,139,1340,4,Representative,111,,, ,, ,, ,, ,43.65,-66.866667,,,30,11/21/1964,19:16,11/21/1964 0:00,7:46:00 PM,117,6.4,,7.1,,84,Brosme brosme (cusk),1.8,1
196413,AL,1964,FALL,140,1340,5,Representative,111,,, ,, ,, ,, ,43.366667,-66.65,,,30,11/21/1964,23:32,11/22/1964 0:00,12:02:00 AM,91,6,,6.5,,84,Brosme brosme (cusk),2.7,1
196413,AL,1964,FALL,148,1320,3,Representative,123,,, ,, ,, ,, ,42.65,-65.716667,,,30,11/22/1964,20:52,11/22/1964 0:00,9:22:00 PM,88,3.9,,7.5,,84,Brosme brosme (cusk),1.8,1
196413,AL,1964,FALL,149,1310,4,Representative,111,,, ,, ,, ,, ,42.8,-65.766667,,,30,11/22/1964,23:23,11/22/1964 0:00,11:53:00 PM,111,,,,,84,Brosme brosme (cusk),1.8,1
196413,AL,1964,FALL,174,1240,5,Representative,111,,, ,, ,, ,, ,41.783333,-68.85,,,30,12/4/1964,4:00,12/4/1964 0:00,4:30:00 AM,168,5,,7.4,,84,Brosme brosme (cusk),2.7,1
196514,AL,1965,FALL,4,1270,2,Representative,111,,, ,, ,, ,, ,42.55,-70.016667,,,30,10/7/1965,7:57,10/7/1965 0:00,8:27:00 AM,133,5,,9.8,,84,Brosme brosme (cusk),5.9,2
196514,AL,1965,FALL,6,1260,4,Representative,111,,, ,, ,, ,, ,42.6,-70.383333,,,30,10/7/1965,12:07,10/7/1965 0:00,12:37:00 PM,93,4.5,,9.9,,84,Brosme brosme (cusk),10.9,2
196514,AL,1965,FALL,11,1400,3,Representative,111,,, ,, ,, ,, ,43.533333,-69.75,,,30,10/8/1965,0:32,10/8/1965 0:00,1:02:00 AM,110,4.5,,10.2,,84,Brosme brosme (cusk),4.5,1
196514,AL,1965,FALL,13,1390,1,Representative,135,,, ,, ,, ,, ,43.75,-69.033333,,,30,10/8/1965,5:39,10/8/1965 0:00,6:09:00 AM,70,7,,9,,84,Brosme brosme (cusk),9.1,1
196514,AL,1965,FALL,19,1380,3,Representative,135,,, ,, ,, ,, ,43.516667,-68.666667,,,28,10/9/1965,15:55,10/9/1965 0:00,4:23:00 PM,141,5.8,,8.9,,84,Brosme brosme (cusk),1.4,1
196514,AL,1965,FALL,23,1370,2,Representative,134,,, ,, ,, ,, ,42.883333,-68.533333,,,25,10/10/1965,6:35,10/10/1965 0:00,7:00:00 AM,162,5.5,,9.7,,84,Brosme brosme (cusk),5.4,1
196514,AL,1965,FALL,33,1240,2,Representative,111,,, ,, ,, ,, ,41.7,-69.5,,,30,10/11/1965,12:45,10/11/1965 0:00,1:15:00 PM,115,4.8,,13.1,,84,Brosme brosme (cusk),6.4,2
196514,AL,1965,FALL,35,1240,3,Representative,111,,, ,, ,, ,, ,41.866667,-69,,,30,10/11/1965,17:00,10/11/1965 0:00,5:30:00 PM,162,4.9,,13.1,,84,Brosme brosme (cusk),0,1
196514,AL,1965,FALL,37,1240,5,Representative,111,,, ,, ,, ,, ,41.916667,-68.383333,,,30,10/11/1965,22:05,10/11/1965 0:00,10:35:00 PM,195,6,,12.7,,84,Brosme brosme (cusk),4.5,3
196514,AL,1965,FALL,41,1290,2,Representative,111,,, ,, ,, ,, ,42.533333,-68.233333,,,30,10/12/1965,9:10,10/12/1965 0:00,9:40:00 AM,185,6,,11.8,,84,Brosme brosme (cusk),5,3
196514,AL,1965,FALL,44,1360,3,Representative,111,,, ,, ,, ,, ,43.466667,-67.3,,,30,10/12/1965,18:03,10/12/1965 0:00,6:33:00 PM,212,5.5,,9.7,,84,Brosme brosme (cusk),5.4,2
196514,AL,1965,FALL,49,1380,6,Representative,111,,, ,, ,, ,, ,44.2,-67.6,,,30,10/13/1965,7:05,10/13/1965 0:00,7:35:00 AM,118,6,,8.2,,84,Brosme brosme (cusk),5.4,1
196514,AL,1965,FALL,51,1350,1,Representative,111,,, ,, ,, ,, ,44.3,-67.15,,,30,10/13/1965,11:55,10/13/1965 0:00,12:25:00 PM,165,6.8,,8.6,,84,Brosme brosme (cusk),10.4,2
196514,AL,1965,FALL,52,1350,2,Representative,111,,, ,, ,, ,, ,44.533333,-66.433333,,,30,10/13/1965,15:40,10/13/1965 0:00,4:10:00 PM,192,7,,8.9,,84,Brosme brosme (cusk),10,5
196514,AL,1965,FALL,54,1350,4,Representative,111,,, ,, ,, ,, ,44.583333,-66.3,,,30,10/13/1965,19:41,10/13/1965 0:00,8:11:00 PM,122,6.5,,8.9,,84,Brosme brosme (cusk),1.4,1
196514,AL,1965,FALL,57,1340,4,Representative,123,,, ,, ,, ,, ,43.633333,-66.716667,,,30,10/14/1965,2:46,10/14/1965 0:00,3:16:00 AM,124,7,,8.9,,84,Brosme brosme (cusk),2.7,1
196514,AL,1965,FALL,64,1290,4,Representative,111,,, ,, ,, ,, ,42.55,-66.216667,,,30,10/14/1965,17:06,10/14/1965 0:00,5:36:00 PM,202,8,,11,,84,Brosme brosme (cusk),5.4,2
196514,AL,1965,FALL,65,1310,1,Non-Representative,141,,, ,, ,, ,, ,42.916667,-65.95,,,15,10/14/1965,22:37,10/14/1965 0:00,10:52:00 PM,128,7.8,,8.5,,84,Brosme brosme (cusk),5.9,3
196514,AL,1965,FALL,70,1310,3,Representative,111,,, ,, ,, ,, ,42.383333,-65.7,,,30,10/15/1965,8:43,10/15/1965 0:00,9:13:00 AM,103,6.4,,12.9,,84,Brosme brosme (cusk),8.2,3
196514,AL,1965,FALL,71,1410,5,Representative,111,,, ,, ,, ,, ,42.683333,-65.25,,,30,10/15/1965,12:45,10/15/1965 0:00,1:15:00 PM,91,5,,11.5,,84,Brosme brosme (cusk),1.8,1
196514,AL,1965,FALL,75,1310,5,Representative,111,,, ,, ,, ,, ,42.966667,-65.466667,,,30,10/15/1965,18:20,10/15/1965 0:00,6:50:00 PM,119,4.8,,9.7,,84,Brosme brosme (cusk),0.9,1
196514,AL,1965,FALL,78,1410,4,Representative,123,,, ,, ,, ,, ,42.95,-64.133333,,,30,10/16/1965,6:29,10/16/1965 0:00,6:59:00 AM,95,3.7,,13.7,,84,Brosme brosme (cusk),1.4,1
196514,AL,1965,FALL,79,1180,1,Representative,111,,, ,, ,, ,, ,41.916667,-65.766667,,,30,10/16/1965,21:15,10/16/1965 0:00,9:45:00 PM,183,7.6,,13.5,,84,Brosme brosme (cusk),3.4,1
196514,AL,1965,FALL,83,1180,2,Representative,111,,, ,, ,, ,, ,42.016667,-65.85,,,30,10/17/1965,12:05,10/17/1965 0:00,12:35:00 PM,190,8,,11.8,,84,Brosme brosme (cusk),20,6
196514,AL,1965,FALL,93,1300,2,Representative,111,,, ,, ,, ,, ,42.35,-67.383333,,,30,10/18/1965,18:49,10/18/1965 0:00,7:19:00 PM,296,,,10.5,,84,Brosme brosme (cusk),11.3,2
196514,AL,1965,FALL,107,1240,6,Representative,111,,, ,, ,, ,, ,41.333333,-69.133333,,,30,10/28/1965,6:03,10/28/1965 0:00,6:33:00 AM,154,5.2,,13.1,,84,Brosme brosme (cusk),0.9,1
196614,AL,1966,FALL,4,1240,3,Representative,111,,, ,, ,, ,, ,42.066667,-68.716667,,,30,10/13/1966,8:35,10/13/1966 0:00,9:05:00 AM,164,4.3,,12.3,,84,Brosme brosme (cusk),10,2
196614,AL,1966,FALL,5,1280,2,Representative,111,,, ,, ,, ,, ,42.066667,-68.583333,,,30,10/13/1966,10:15,10/13/1966 0:00,10:45:00 AM,177,4.3,,12.8,,84,Brosme brosme (cusk),9.5,1
196614,AL,1966,FALL,6,1280,3,Representative,111,,, ,, ,, ,, ,42.25,-68.7,,,30,10/13/1966,12:42,10/13/1966 0:00,1:12:00 PM,205,,,11.4,,84,Brosme brosme (cusk),5.4,1
196614,AL,1966,FALL,8,1280,4,Representative,122,,, ,, ,, ,, ,42.416667,-69.683333,,,30,10/13/1966,19:17,10/13/1966 0:00,7:47:00 PM,245,5,,12.2,,84,Brosme brosme (cusk),31.3,9
196614,AL,1966,FALL,10,1260,1,Representative,135,,, ,, ,, ,, ,42.483333,-70.233333,,,30,10/13/1966,23:39,10/14/1966 0:00,12:09:00 AM,142,5.6,,12.4,,84,Brosme brosme (cusk),1.8,1
196614,AL,1966,FALL,12,1260,3,Representative,111,,, ,, ,, ,, ,42.566667,-70.166667,,,30,10/14/1966,4:16,10/14/1966 0:00,4:46:00 AM,87,4.8,,11.7,,84,Brosme brosme (cusk),0,2
196614,AL,1966,FALL,13,1260,4,Representative,111,,, ,, ,, ,, ,42.633333,-70.25,,,30,10/14/1966,5:56,10/14/1966 0:00,6:26:00 AM,82,4.8,,11.6,,84,Brosme brosme (cusk),1.8,3
196614,AL,1966,FALL,15,1400,2,Representative,111,,, ,, ,, ,, ,43.083333,-70.416667,,,30,10/14/1966,11:13,10/14/1966 0:00,11:43:00 AM,82,4.5,,9.9,,84,Brosme brosme (cusk),13.2,2
196614,AL,1966,FALL,16,1270,2,Representative,123,,, ,, ,, ,, ,43.116667,-70.316667,,,30,10/14/1966,13:50,10/14/1966 0:00,2:20:00 PM,110,4.3,,11.2,,84,Brosme brosme (cusk),3.2,1
196614,AL,1966,FALL,17,1270,3,Representative,111,,, ,, ,, ,, ,42.983333,-69.983333,,,30,10/14/1966,16:15,10/14/1966 0:00,4:45:00 PM,160,4.8,,10,,84,Brosme brosme (cusk),2.7,1
196614,AL,1966,FALL,19,1370,2,Representative,111,,, ,, ,, ,, ,43.05,-69.75,,,30,10/14/1966,19:13,10/14/1966 0:00,7:43:00 PM,149,4.3,,12.2,,84,Brosme brosme (cusk),13.2,2
196614,AL,1966,FALL,20,1280,6,Representative,111,,, ,, ,, ,, ,42.916667,-69.716667,,,30,10/14/1966,20:46,10/14/1966 0:00,9:16:00 PM,186,4.7,,12.2,,84,Brosme brosme (cusk),4.5,1
196614,AL,1966,FALL,21,1370,3,Representative,111,,, ,, ,, ,, ,42.866667,-69.216667,,,30,10/14/1966,23:38,10/15/1966 0:00,12:08:00 AM,151,4.7,,10.5,,84,Brosme brosme (cusk),5.4,1
196614,AL,1966,FALL,32,1380,5,Representative,111,,, ,, ,, ,, ,43.366667,-68.566667,,,30,10/16/1966,2:05,10/16/1966 0:00,2:35:00 AM,165,5.2,,9.9,,84,Brosme brosme (cusk),5.4,1
196614,AL,1966,FALL,38,1350,1,Representative,123,,, ,, ,, ,, ,44.35,-67.3,,,30,10/16/1966,19:23,10/16/1966 0:00,7:53:00 PM,160,6,,9,,84,Brosme brosme (cusk),3.2,2
196614,AL,1966,FALL,39,1360,3,Representative,111,,, ,, ,, ,, ,44.116667,-67.55,,,30,10/16/1966,21:39,10/16/1966 0:00,10:09:00 PM,218,6.3,,9.5,,84,Brosme brosme (cusk),3.2,1
196614,AL,1966,FALL,48,1330,4,Representative,111,,, ,, ,, ,, ,43.733333,-66.433333,,,30,10/17/1966,16:57,10/17/1966 0:00,5:27:00 PM,78,7.7,,9,,84,Brosme brosme (cusk),0.9,1
196614,AL,1966,FALL,49,1340,2,Representative,123,,, ,, ,, ,, ,43.566667,-66.883333,,,30,10/17/1966,19:37,10/17/1966 0:00,8:07:00 PM,131,6,,7.9,,84,Brosme brosme (cusk),14.1,6
196614,AL,1966,FALL,50,1340,3,Representative,111,,, ,, ,, ,, ,43.5,-66.85,,,30,10/17/1966,21:04,10/17/1966 0:00,9:34:00 PM,179,6.3,,8.3,,84,Brosme brosme (cusk),19.1,7
196614,AL,1966,FALL,51,1340,4,Representative,111,,, ,, ,, ,, ,43.383333,-66.916667,,,30,10/17/1966,22:41,10/17/1966 0:00,11:11:00 PM,190,6.3,,9.5,,84,Brosme brosme (cusk),0,2
196614,AL,1966,FALL,52,1340,5,Representative,111,,, ,, ,, ,, ,43.216667,-66.75,,,30,10/18/1966,0:35,10/18/1966 0:00,1:05:00 AM,110,6.3,,9,,84,Brosme brosme (cusk),2.2,1
196614,AL,1966,FALL,53,1360,5,Representative,111,,, ,, ,, ,, ,43.283333,-67.566667,,,30,10/18/1966,5:10,10/18/1966 0:00,5:40:00 AM,222,6.3,,11,,84,Brosme brosme (cusk),27.2,4
196614,AL,1966,FALL,56,1290,2,Representative,122,,, ,, ,, ,, ,42.716667,-67.766667,,,30,10/18/1966,12:37,10/18/1966 0:00,1:07:00 PM,183,6.3,,12,,84,Brosme brosme (cusk),13.6,4
196614,AL,1966,FALL,57,1290,3,Non-Representative,146,,, ,, ,, ,, ,42.683333,-67.55,,,30,10/18/1966,15:53,10/18/1966 0:00,4:23:00 PM,220,6.4,,11.4,,84,Brosme brosme (cusk),5.4,1
196614,AL,1966,FALL,59,1310,1,Representative,111,,, ,, ,, ,, ,42.683333,-66.766667,,,30,10/18/1966,22:06,10/18/1966 0:00,10:36:00 PM,169,7,,11.1,,84,Brosme brosme (cusk),2.3,1
196614,AL,1966,FALL,61,1310,3,Representative,135,,, ,, ,, ,, ,42.966667,-66.083333,,,30,10/19/1966,3:15,10/19/1966 0:00,3:45:00 AM,128,6.8,,7.4,,84,Brosme brosme (cusk),5,1
196614,AL,1966,FALL,62,1310,4,Representative,122,,, ,, ,, ,, ,42.966667,-65.8,,,30,10/19/1966,6:10,10/19/1966 0:00,6:40:00 AM,139,4.9,,9.3,,84,Brosme brosme (cusk),4.1,2
196614,AL,1966,FALL,77,1180,1,Representative,122,,, ,, ,, ,, ,41.983333,-65.783333,,,30,10/22/1966,4:02,10/22/1966 0:00,4:32:00 AM,220,4.8,,10.6,,84,Brosme brosme (cusk),4.1,1
196614,AL,1966,FALL,78,1180,2,Representative,111,,, ,, ,, ,, ,41.783333,-65.733333,,,30,10/22/1966,6:26,10/22/1966 0:00,6:56:00 AM,208,5.4,,9.9,,84,Brosme brosme (cusk),10,2
196614,AL,1966,FALL,89,1300,2,Representative,123,,, ,, ,, ,, ,42.3,-66.8,,,30,10/23/1966,7:38,10/23/1966 0:00,8:08:00 AM,284,6.7,,9.7,,84,Brosme brosme (cusk),2.6,1
196614,AL,1966,FALL,93,1220,3,Representative,111,,, ,, ,, ,, ,42.133333,-67.4,,,30,10/23/1966,15:48,10/23/1966 0:00,4:18:00 PM,187,6.3,,11.4,,84,Brosme brosme (cusk),7.7,3
196614,AL,1966,FALL,100,1220,6,Representative,111,,, ,, ,, ,, ,41.7,-68.4,,,30,10/24/1966,8:26,10/24/1966 0:00,8:56:00 AM,184,6.2,,13.2,,84,Brosme brosme (cusk),36.3,5
196614,AL,1966,FALL,106,1240,6,Representative,111,,, ,, ,, ,, ,41.383333,-68.866667,,,30,10/24/1966,20:50,10/24/1966 0:00,9:20:00 PM,133,4.3,,13,,84,Brosme brosme (cusk),0,1
196614,AL,1966,FALL,119,1100,1,Representative,111,,, ,, ,, ,, ,40.7,-70.616667,,,30,11/5/1966,9:43,11/5/1966 0:00,10:13:00 AM,58,9.4,,12,,84,Brosme brosme (cusk),0,2
196614,AL,1966,FALL,120,1060,2,Representative,111,,, ,, ,, ,, ,40.466667,-70.85,,,30,11/5/1966,12:28,11/5/1966 0:00,12:58:00 PM,79,8.9,,12.3,,84,Brosme brosme (cusk),0,2
196721,AL,1967,FALL,207,1270,1,Representative,111,,, ,, ,, ,, ,42.533333,-70.016667,,,30,11/8/1967,23:45,11/9/1967 0:00,12:15:00 AM,139,4,,10,,84,Brosme brosme (cusk),8.6,2
196721,AL,1967,FALL,216,1270,4,Representative,111,,, ,, ,, ,, ,43.383333,-70.016667,,,30,11/9/1967,19:55,11/9/1967 0:00,8:25:00 PM,129,5.2,,8.5,,84,Brosme brosme (cusk),3.2,1
196721,AL,1967,FALL,222,1380,3,Representative,111,,, ,, ,, ,, ,43.6,-68.216667,,,30,11/10/1967,11:47,11/10/1967 0:00,12:17:00 PM,178,6,,8.9,,84,Brosme brosme (cusk),12.2,3
196721,AL,1967,FALL,225,1360,3,Representative,111,,, ,, ,, ,, ,43.583333,-67.283333,,,30,11/10/1967,17:50,11/10/1967 0:00,6:20:00 PM,202,5.4,,9,,84,Brosme brosme (cusk),7.7,1
196721,AL,1967,FALL,228,1340,2,Representative,123,,, ,, ,, ,, ,43.55,-66.633333,,,30,11/11/1967,1:01,11/11/1967 0:00,1:31:00 AM,110,6.9,,7.4,,84,Brosme brosme (cusk),2.7,1
196721,AL,1967,FALL,235,1350,4,Representative,123,,, ,, ,, ,, ,44.283333,-67.05,,,30,11/11/1967,18:20,11/11/1967 0:00,6:50:00 PM,137,,,8.1,,84,Brosme brosme (cusk),2.7,1
